id,name1,name2,address,lat,lng,status,error
23,円山公園音楽堂,円山公園音楽堂 奏楽堂,円山町 円山公園内,35.0035587,135.7805269,OK,
24,円山公園音楽堂,円山公園音楽堂 便所,円山町 円山公園内,35.0035587,135.7805269,OK,
236,西京極総合運動公園陸上競技場兼球技場,西京極総合運動公園陸上競技場兼球技場 メインスタンド,西京極新明町29番地,34.9937522,135.712438,OK,
237,西京極総合運動公園陸上競技場兼球技場,西京極総合運動公園陸上競技場兼球技場 バックスタンド，北スタンド，南スタンド,西京極新明町29番地,34.9937522,135.712438,OK,
238,西京極総合運動公園補助競技場,西京極総合運動公園補助競技場 補助競技場更衣棟,西京極新明町29番地,34.9937522,135.712438,OK,
239,西京極総合運動公園補助競技場,西京極総合運動公園補助競技場 補助競技場倉庫,西京極新明町29番地,34.9937522,135.712438,OK,
240,西京極総合運動公園野球場,西京極総合運動公園野球場 スタンド,西京極徳大寺団子田町64番地,34.9889076,135.7159818,OK,
241,西京極総合運動公園プール,西京極総合運動公園プール,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
242,横大路運動公園,横大路運動公園 管理棟,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
243,横大路運動公園,横大路運動公園 便所１,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
244,横大路運動公園,横大路運動公園 便所２,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
245,横大路運動公園,横大路運動公園 便所３,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
246,横大路運動公園,横大路運動公園 便所４,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
247,横大路運動公園,横大路運動公園 クラブハウス,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
248,横大路運動公園,横大路運動公園 的場,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
249,横大路運動公園,横大路運動公園 倉庫,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
250,横大路運動公園,横大路体育館,横大路下ノ坪1番地,34.9156019,135.7351747,OK,
251,横大路運動公園,横大路体育館 自転車置場,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
252,宝が池公園運動施設,宝が池公園運動施設球技場 球技場メインスタンド,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
253,宝が池公園運動施設,宝が池公園運動施設球技場 球技場スコアボード,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
254,宝が池公園運動施設,宝が池公園運動施設球技場 球技場券売所,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
255,宝が池公園運動施設,宝が池公園運動施設球技場 クラブハウス棟,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
256,宝が池公園運動施設,宝が池公園運動施設テニスコート 多目的広場東便所,松ケ崎東池ノ内町ほか,35.054192,135.7766854,OK,
257,宝が池公園運動施設,宝が池公園運動施設テニスコート テニスコート北便所,松ケ崎平田町ほか,35.0530812,135.7766854,OK,
278,伏見北堀公園地域体育館,伏見北堀公園地域体育館,竹田醍醐田町17番地の6,34.9503506,135.7576578,OK,
291,伏見桃山城運動公園,伏見桃山城運動公園 管理棟,桃山町大蔵地内,34.9409401,135.7787595,OK,
292,伏見桃山城運動公園,伏見桃山城運動公園 トイレ,一乗寺御祭田町1番地,35.0422029,135.7865836,OK,
293,一乗寺公園,一乗寺公園 本部席,一乗寺御祭田町1番地,35.0422029,135.7865836,OK,
294,一乗寺公園,一乗寺公園 一塁側ダッグアウト,一乗寺御祭田町1番地,35.0422029,135.7865836,OK,
295,一乗寺公園,一乗寺公園 三塁側ダッグアウト,岡崎最勝寺町63番地,35.0144129,135.7820191,OK,
296,岡崎公園,岡崎公園 １塁側観覧席,岡崎最勝寺町63番地,35.0144129,135.7820191,OK,
297,岡崎公園,岡崎公園 ３塁側観覧席,岡崎最勝寺町63番地,35.0144129,135.7820191,OK,
298,岡崎公園,岡崎公園 管理事務所,岡崎最勝寺町63番地,35.0144129,135.7820191,OK,
299,岡崎公園,岡崎公園 車庫,岩倉忠在寺町,35.019943,135.7673863,OK,
300,岩倉東公園,岩倉東公園 管理事務所,岩倉忠在寺町,35.019943,135.7673863,OK,
301,岩倉東公園,岩倉東公園 屋外便所,西ノ京船塚町1番地,35.0121416,135.7369972,OK,
302,朱雀公園,朱雀公園 便所,西ノ京船塚町1番地,35.0121416,135.7369972,OK,
303,朱雀公園,朱雀公園 本部席,西ノ京船塚町1番地,35.0121416,135.7369972,OK,
304,朱雀公園,朱雀公園 一塁側ダッグアウト,西ノ京船塚町1番地,35.0121416,135.7369972,OK,
305,朱雀公園,朱雀公園 三塁側ダッグアウト,勧修寺東金ケ崎,34.9668398,135.8092899,OK,
306,勧修寺公園,勧修寺公園 クラブハウス,東野八反畑町41番地の4,34.9766918,135.8107724,OK,
307,東野公園,東野公園 便所,吉祥院新田下ノ向町,34.971053,135.7230846,OK,
308,吉祥院公園,吉祥院公園 管理事務所,吉祥院新田下ノ向町,34.971053,135.7230846,OK,
